method,subset,band,mode,degree,is_degree_endpoint,ICC3_1,CI_low,CI_high
LB,ALL59,delta,22,4,0,0.25591057771974873,0.10397567131482495,0.41437331290700546
LB,ALL59,delta,23,4,0,0.3858642345818284,0.2589731808347696,0.5010578020142928
LB,ALL59,delta,24,4,0,0.45722923134977045,0.34231116805500755,0.561966771747393
LB,ALL59,delta,25,4,1,0.5190865013251329,0.38318871509036856,0.6300021432776763
LB,ALL59,delta,26,5,0,0.49228351053960523,0.3446952235382231,0.6068773765323202
LB,ALL59,delta,27,5,0,0.39817439092249113,0.22523418281600172,0.5671168271484315
LB,ALL59,delta,28,5,0,0.4878356940159154,0.35601693566461023,0.6011476954969138
LB,ALL59,delta,29,5,0,0.1850345522825136,0.07210757871227565,0.29782286098209887
LB,ALL59,delta,30,5,0,0.46134605807732804,0.2813564757600751,0.6039116407582084
LB,ALL59,delta,31,5,0,0.41470226878427624,0.2728216681075318,0.5459761495908266
LB,ALL59,delta,32,5,0,0.30066839420294145,0.12169088623912087,0.48327991008677357
LB,ALL59,delta,33,5,0,0.4711207649205434,0.33174630423929125,0.5972773074414842
LB,ALL59,delta,34,5,0,0.5624361776710941,0.42394455384905594,0.670632654642497
LB,ALL59,delta,35,5,0,0.4472560539913075,0.34987981894469555,0.550395010701178
LB,ALL59,delta,36,5,1,0.34875788492085225,0.17714887392052497,0.5053937008260124
LB,ALL59,delta,37,6,0,0.5237454843866698,0.4133861297204865,0.6159520107965051
LB,ALL59,delta,38,6,0,0.4768726012484115,0.37392415530870404,0.590287275421793
LB,ALL59,delta,39,6,0,0.4369906992503174,0.294532205207493,0.5629419435548079
LB,ALL59,delta,40,6,0,0.45811765287105766,0.3087584230408932,0.5851100175093279
LB,ALL59,delta,41,6,0,0.4397724129711056,0.2730982850995559,0.5930576808934771
LB,ALL59,delta,42,6,0,0.4341649522189764,0.306950091368101,0.547718702360828
LB,ALL59,delta,43,6,0,0.48395796701340865,0.35650109843389916,0.595462523087858
LB,ALL59,delta,44,6,0,0.37656033506327996,0.23761578266279448,0.4948397479023787
LB,ALL59,delta,45,6,0,0.4838766227404885,0.3393057408005861,0.608407437008125
LB,ALL59,delta,46,6,0,0.2861882118015337,0.11701610317876307,0.4389376767925666
LB,ALL59,delta,47,6,0,0.5513466446457872,0.422053498717962,0.6674533474070161
LB,ALL59,delta,48,6,0,0.49046853193296447,0.3733457596876523,0.6037612525088139
LB,ALL59,delta,49,6,1,0.423216960321863,0.2808129891355186,0.5454054359383074
LB,ALL59,delta,50,7,0,0.36985424119013643,0.2499961702998705,0.4889598598800602
LB,ALL59,delta,51,7,0,0.365295974859887,0.23050803281362744,0.4819555174259571
LB,ALL59,delta,52,7,0,0.4909069738908597,0.36648405620685265,0.5923230862870613
LB,ALL59,delta,53,7,0,0.4409482984658746,0.301426047239717,0.5648447865499271
LB,ALL59,delta,54,7,0,0.4814377929193904,0.33355273938002816,0.59877987627737
LB,ALL59,delta,55,7,0,0.4512040887605093,0.21037561244632189,0.6464981611364687
LB,ALL59,delta,56,7,0,0.5016203126922802,0.3126511930537733,0.665403429821442
LB,ALL59,delta,57,7,0,0.4498804881659743,0.2873719032699216,0.5764550107970451
LB,ALL59,delta,58,7,0,0.48179643422254315,0.3492478406428304,0.6057757090190626
LB,ALL59,delta,59,7,0,0.4194529031664098,0.2946006204253591,0.5395504755076141
LB,ALL59,delta,60,7,0,0.5324345960190578,0.3787643092348829,0.6650148461899428
LB,ALL59,theta,1,0,1,0.45441302281283963,0.3338764288068613,0.5602304165318255
LB,ALL59,theta,2,1,0,0.4312668789486131,0.2857039425714313,0.5374953943642449
