method,subset,band,mode,degree,is_degree_endpoint,ICC3_1,CI_low,CI_high
SPH,ALL59,beta,44,6,0,0.44110004728315527,0.31079668219602624,0.5534692556951684
SPH,ALL59,beta,45,6,0,0.5450464906460922,0.4164472432533281,0.6560925467441426
SPH,ALL59,beta,46,6,0,0.4753772267454532,0.34137996976896373,0.5985822011428833
SPH,ALL59,beta,47,6,0,0.6447245360030774,0.5335151033214858,0.7358703806002903
SPH,ALL59,beta,48,6,0,0.5875678350985588,0.4718457960046491,0.6852902773195871
SPH,ALL59,beta,49,6,1,0.6166144430394741,0.48913964933471893,0.7211813304421942
SPH,ALL59,beta,50,7,0,0.6013710237005022,0.504229744246565,0.6838052766003082
SPH,ALL59,beta,51,7,0,0.553849127122913,0.4208957931805253,0.6769908850558817
SPH,ALL59,beta,52,7,0,0.682579173325118,0.5902357121158619,0.7650874632698766
SPH,ALL59,beta,53,7,0,0.47035443833528057,0.3475611635218695,0.5873873295327036
SPH,ALL59,beta,54,7,0,0.44489933230443934,0.29843174779266085,0.5722588810973802
SPH,ALL59,beta,55,7,0,0.5135901689739224,0.3674077071010571,0.6418010351862159
SPH,ALL59,beta,56,7,0,0.4997627896941391,0.35386360966378305,0.6150008589521742
SPH,ALL59,beta,57,7,0,0.5904304480378207,0.477576871967666,0.6834373366098399
SPH,ALL59,beta,58,7,0,0.45083327622835717,0.31856604261615057,0.5526936464724608
SPH,ALL59,beta,59,7,0,0.5552585341488835,0.4343269460661308,0.6639871953265929
SPH,ALL59,beta,60,7,0,0.4302692187830888,0.27982244125176287,0.5591733103423433
SPH,ALL59,delta,1,0,1,0.48947738824419906,0.3718549565502124,0.5889130417485438
SPH,ALL59,delta,2,1,0,0.4792511892464758,0.337792291540114,0.6002093901390749
SPH,ALL59,delta,3,1,0,0.5159178462845659,0.38654379152866825,0.6176155730134696
SPH,ALL59,delta,4,1,1,0.4343727472039829,0.31709478402843116,0.5559622327115529
SPH,ALL59,delta,5,2,0,0.4456132290426514,0.23144128468736694,0.6116427531446703
SPH,ALL59,delta,6,2,0,0.575291221312501,0.44111513077909736,0.6871950808445298
SPH,ALL59,delta,7,2,0,0.5575603691694128,0.4293642411175769,0.6755671450051567
SPH,ALL59,delta,8,2,0,0.4424617004829476,0.32572533548193316,0.5525785775564883
SPH,ALL59,delta,9,2,1,0.3810839134888708,0.2110299641512005,0.5553281579519431
SPH,ALL59,delta,10,3,0,0.4163798907345377,0.2793548988080107,0.53864674677668
SPH,ALL59,delta,11,3,0,0.4257245604861212,0.2058757198446449,0.5956277480358615
SPH,ALL59,delta,12,3,0,0.4755166927159764,0.32650095052282435,0.6021646508696415
SPH,ALL59,delta,13,3,0,0.5785942655851589,0.45177644841621895,0.6845022552534676
SPH,ALL59,delta,14,3,0,0.4546064146115023,0.3303326174777469,0.566948323036671
SPH,ALL59,delta,15,3,0,0.3691701433033407,0.20895418277247924,0.5095745840933329
